itemId,Category,itemname
1,Kindle,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue"
2,TV,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player
3,Adapter,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders
4,Tablet,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
5,Tablet,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
6,Tablet,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue"
7,Tablet,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
8,Tablet,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum"
9,Kindle,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers"
10,Tablet,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue"
11,Speaker,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker
12,Kindle,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black
13,Tablet,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black"
14,Tablet,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers"
15,Tablet,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta"
16,Tablet,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
17,Kindle,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers"
18,Kindle,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers"
19,Kindle,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)"
20,Speaker,Amazon - Echo Plus w/ Built-In Hub - Silver
21,Kindle,"Amazon - Kindle Voyage - 6"" - 4GB - Black"
22,Tablet,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers"
23,Speaker,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen"
24,TV,TCL 32S325 32 Inch 720p Roku Smart LED TV (2019) 
25,TV,Insignia NS-39DF510NA19 39-inch 1080p Full HD Smart LED TV- Fire TV Edition 
26,TV,"vizio d39hn-e0 d-class 39"" class full-array led tv (certified refurbished)"
27,TV,Samsung Electronics UN32N5300AFXZA 32inch 1080p Smart LED TV (2018) Black (Certified Refurbished) 
28,TV,"Jensen JE3217 32"" LED AC Television with Integrated HDTV (ATSC) Tuner and Remote Control, 1366 x 768 WXGA+ Resolution, HDTV Ready (1080p, 720p, & 480p), High Performance Wide 16:9 LCD panel, 110V AC "
29,TV,"Sceptre 65"" Class 4K (2160P) LED TV (U650CV-U) "
30,Speaker,Echo Spot Adjustable Stand - White 
31,Speaker,"Bose Home Speaker 500 with Alexa voice control built-in, Black"
32,Speaker,"Bose Wave SoundTouch Music System IV, works with Alexa, Espresso Black "
33,Speaker,"Echo Dot (3rd Gen) - Smart speaker with Alexa, now with improved sound and design - Charcoal "
34,Speaker,"Alexa Bluetooth Smart Speaker XL-V, A Multi-Room Audio Speaker with WiFi Compatibility for Streaming Music from Spotify, iTunes, Pandora, Sirius, Etc. and Smart Home Control "
35,Speaker,Roll over image to zoom in Ultimate Ears BOOM 2 LE Limited Edition Wireless Speaker Phantom 
36,Adapter,"Travel Adapter,WGGE Multi-Nation Travel Adapter, All-in-one International Power Adapter with 2.4A Dual USB,Worldwide Power Adapter Wall Charger for US,UK,EU,AU,Asia Cover More than150 Countries "
37,Adapter,Power Plug Adapter - International Travel - w/USB Ports Work for 150+ Countries - 220 Volt Adapter - Travel Adapter Type C Type A Type G Type I f for UK Japan China EU Europe European by SublimeWare 
38,Adapter,"Foval Power Step Down 220V to 110V Voltage Converter with 4-Port USB International Power Travel Adapter in UK European Italy Asia etc, More Than 150 Countries Over The World "
39,Adapter,"Unidapt Universal Travel Power Adapter, European Adapter, Fast 2,4A 4-USB Worldwide International Power Charger, AC Wall Plug Adapter â€“ All in One for US, UK, EU, AUS & Asia by Unidapt "
40,Adapter,"Travel Adapter, 2400W International Power Adapter, Universal Adapter with 4 USB Ports, Perfect for UK, EU, AU, US, Over 150 Countries (Black) "
